Cómo	O
vivir	O
con	O
el	O
síndrome	B-MISC
Asperger	I-MISC
.	O
Cómo	O
vivir	O
con	O
el	O
síndrome	B-MISC
Asperger	I-MISC
,	O
según	O
LatinGuru.El	O
síndrome	O
...	O
https://t.co/E4ykXD1jSz	O
	
Emotivo	O
y	O
merecido	O
homenaje	O
el	O
que	O
hoy	O
@Imaginamas	O
le	O
ha	O
hecho	O
en	O
@CineEmbajadores	O
a	O
todas	O
las	O
personas	O
que	O
en	O
los	O
últimos	O
40	O
años	O
han	O
hecho	O
frente	O
al	O
VIH	B-MISC
.	O
El	O
futuro	O
parece	O
prometedor	O
para	O
la	O
ciencia,	O
pero	O
el	O
estigma	O
social	O
aún	O
existe.	O
¡Gracias	O
por	O
la	O
invitación!	O
❤	O
_	O
#40años	O
VIH	B-MISC
https://t.co/6uzEmNvGY4	O
	
🌞	O
¡Buenos	O
días!	O
Comenzamos	O
nuevo	O
mes	O
y	O
con	O
él	O
actualizamos	O
el	O
menú	O
de	O
nuestro	O
#comedorEscolar	O
🤔	O
¿Sabías	O
que	O
contamos	O
con	O
cocina	O
propia	O
y	O
que	O
ofrecemos	O
a	O
nuestros	O
alumnos	O
diferentes	O
menús	O
adaptados	O
a	O
posibles	O
alergias	B-MISC
e	O
intolerancias	B-MISC
?	O
https://t.co/TJtCXfabGC	O
#Diciembre2021	O
	
🌎	O
Hoy,	O
#DiaMundialdel	O
SIDA	B-MISC
lamentamos	O
la	O
muerte	O
de	O
casi	O
40	O
millones	O
de	O
personas	O
por	O
esta	O
terrible	O
pandemia.	O
🫂	O
Es	O
tiempo	O
de	O
seguir	O
apoyando	O
a	O
quienes	O
conviven	O
con	O
el	O
#	O
VIH	B-MISC
y	O
combatir	O
cualquier	O
tipo	O
de	O
estigma	O
o	O
discriminación	O
hacia	O
ellos.	O
#ViveEnPositivo	O
https://t.co/yHcKHCerKD	O
	
Hoy	O
a	O
las	O
22h	O
en	O
@etvllobregat	O
estará	O
con	O
nosotros	O
el	O
Dr	O
Corominas,	O
reumatólogo	O
de	O
@clinicadiagonal,	O
para	O
hablarnos	O
de	O
enfermedades	B-MISC
inflamatorias	I-MISC
,	O
y	O
la	O
Dra	O
Pozo,	O
neuróloga,	O
nos	O
explicará	O
que	O
es	O
la	O
migraña	B-MISC
.	O
#clinicaintegraletv	O
#salud	O
#	O
migraña	B-MISC
#reumatologia	O
#neurologia	O
https://t.co/3ezux71MlP	O
	
Pues	O
ya	O
estaría!	O
Ya	O
me	O
han	O
puesto	O
la	O
tercera	O
dosis	O
contra	O
la	O
covid	B-MISC
.	O
Sin	O
ninguna	O
duda,	O
ni	O
miedo.	O
Me	O
han	O
puesto	O
moderna,	O
distinta	O
a	O
las	O
dos	O
anteriores	O
Pfizer,	O
no	O
me	O
importa	O
es	O
inmunidad,	O
para	O
mi	O
y	O
para	O
los	O
míos.	O
Contenta	O
pese	O
a	O
los	O
posibles	O
efectos	O
secundarios.	O
#YoMeVacuno	O
#	O
COVID	B-MISC
https://t.co/HZArTyvgxa	O
	
🔴	O
Nueva	O
campaña	O
Covid	B-MISC
@comunidadmadrid:	O
-Desde	O
el	O
15	O
de	O
diciembre	O
todos	O
los	O
ciudadanos	O
tendrán	O
1	O
test	O
gratis	O
en	O
farmacias.	O
-Renovamos	O
todos	O
los	O
contratos	O
COVID	B-MISC
hasta	O
final	O
del	O
invierno.	O
-Reactivamos	O
la	O
autocita	O
para	O
vacunar	O
en	O
29	O
hospitales	O
públicos.	O
Madrid	O
contra	O
el	O
Covid	B-MISC
.	O
https://t.co/RoZNO6v3sf	O
	
🔹	O
¿En	O
qué	O
casos	O
es	O
aún	O
más	O
recomendable	O
realizarse	O
la	O
prueba?	O
▪	O
_	O
Relaciones	O
sexuales	O
sin	O
preservativo	O
▪	O
_	O
Haber	O
padecido	O
alguna	O
otra	O
enfermedad	B-MISC
de	I-MISC
transmisión	I-MISC
sexual	I-MISC
▪	O
_	O
Padecer	O
o	O
haber	O
padecido	O
#	O
tuberculosis	B-MISC
o	O
#	O
hepatitis	B-MISC
¿Necesitas	O
una	O
prueba?	O
Llámanos	O
📲	O
951	O
011	O
150	O
https://t.co/cpwb7hX6nn	O
	
Que	O
la	O
#	O
COVID19	B-MISC
no	O
nos	O
haga	O
olvidar	O
graves	O
problemas	O
de	O
salud,	O
como	O
la	O
epidemia	O
de	O
VIH	B-MISC
.	O
Más	O
de	O
37	O
millones	O
de	O
personas	O
viven	O
con	O
sida	B-MISC
y	O
690.000	O
son	O
las	O
muertes	O
que	O
provocó	O
en	O
2020.	O
Casi	O
el	O
50%	O
de	O
las	O
nuevas	O
infecciones	B-MISC
se	O
dan	O
en	O
África	O
subsahariana.	O
#DiaMundialdel	O
SIDA	B-MISC
https://t.co/5i394fMuOw	O
	
El	O
señor	O
cuesta	O
ha	O
tenido	O
un	O
ictus	B-MISC
...	O
Y	O
yo	O
pero	O
cual,	O
cual	O
cual	O
ha	O
tenido	O
un	O
ictus	B-MISC
no	O
me	O
dice	O
nada!!!	O
Hemorragico	B-MISC
o	O
isquemico	B-MISC
No	O
lo	O
sé	O
pero	O
esta	O
en	O
su	O
casa	O
Como	O
q	O
en	O
su	O
casa?	O
Ya	O
lo	O
han	O
rehabilitado	O
ya	O
have	O
la	O
tf	O
y	O
las	O
avds	O
ya	O
le	O
han	O
enseñado	O
a	O
cuidarse	O
el	O
hombro?	O
	
🎖	O
Entregamos	O
el	O
certificado	O
"Cero	O
es	O
+"	O
a	O
@ASUS_ib	O
Es	O
un	O
reconocimiento,	O
que	O
nos	O
hace	O
muy	O
felices,	O
ya	O
que	O
se	O
concede	O
tras	O
permanecer	O
cinco	O
años	O
sin	O
accidentes	B-MISC
laborales	I-MISC
ni	O
enfermedades	B-MISC
profesionales	I-MISC
con	O
baja.	O
¡Enhorabuena!	O
😊	O
https://t.co/iOOs9hcnu8	O
	
Venimos	O
de	O
ponernos	O
la	O
vacuna	O
de	O
la	O
gripe	B-MISC
;	O
mi	O
hijo	O
la	O
tiene	O
pautada	O
desde	O
pequeño	O
por	O
ser	O
grupo	O
de	O
riesgo	O
y	O
con	O
el	O
Covid	B-MISC
nos	O
la	O
ponemos	O
todos	O
para	O
protegerle	O
mejor.	O
¿Se	O
