Id	Doc_Id	Sent_Id	Word	Tag	begin	end
33704	1437787360452825096	913	Hoy	O	0	3
33705	1437787360452825096	913	se	O	4	6
33706	1437787360452825096	913	celebra	O	7	14
33707	1437787360452825096	913	el	O	15	17
33708	1437787360452825096	913	#diamundialdeladermatitisatopica.	O	19	51
33709	1437787360452825096	913	La	O	53	55
33710	1437787360452825096	913	#DermatitisAtópica	B-MISC	57	74
33711	1437787360452825096	913	es	O	75	77
33712	1437787360452825096	913	una	O	78	81
33713	1437787360452825096	913	enfermedad	B-MISC	82	92
33714	1437787360452825096	913	inflamatoria	O	93	105
33715	1437787360452825096	913	crónica	O	106	113
33716	1437787360452825096	913	de	O	114	116
33717	1437787360452825096	913	la	O	117	119
33718	1437787360452825096	913	piel,	O	120	125
33719	1437787360452825096	913	caracterizada	O	126	139
33720	1437787360452825096	913	por	O	140	143
33721	1437787360452825096	913	picores	O	144	151
33722	1437787360452825096	913	intensos	O	152	160
33723	1437787360452825096	913	y	O	161	162
33724	1437787360452825096	913	asociada	O	163	171
33725	1437787360452825096	913	con	O	172	175
33726	1437787360452825096	913	heridas	B-MISC	176	183
33727	1437787360452825096	913	y	O	184	185
33728	1437787360452825096	913	lesiones.	O	186	195
33729	1437787360452825096	913	Compartimos	O	196	207
33730	1437787360452825096	913	el	O	208	210
33731	1437787360452825096	913	Decálogo	O	211	219
33732	1437787360452825096	913	de	O	220	222
33733	1437787360452825096	913	la	O	223	225
33734	1437787360452825096	913	Dermatitis	B-MISC	226	236
33735	1437787360452825096	913	atópica	I-MISC	237	244
33736	1437787360452825096	913	elaborado	O	245	254
33737	1437787360452825096	913	por	O	255	258
33738	1437787360452825096	913	la	O	259	261
33739	1437787360452825096	913	@aepap	O	262	268
33740	1437787360452825096	913	👇	O	269	270
33741	1437787360452825096	913	https://t.co/f0kskpCQCo	O	271	294
7516	1465312741149880320	205	Firmad	O	0	6
7517	1465312741149880320	205	por	O	7	10
7518	1465312741149880320	205	la	O	11	13
7519	1465312741149880320	205	gente	O	14	19
7520	1465312741149880320	205	que	O	20	23
7521	1465312741149880320	205	se	O	24	26
7522	1465312741149880320	205	va	O	27	29
7523	1465312741149880320	205	al	O	30	32
7524	1465312741149880320	205	paro	O	33	37
7525	1465312741149880320	205	después	O	38	45
7526	1465312741149880320	205	de	O	46	48
7527	1465312741149880320	205	dos	O	49	52
7528	1465312741149880320	205	años	O	53	57
7529	1465312741149880320	205	de	O	58	60
7530	1465312741149880320	205	trabajo	O	62	69
7531	1465312741149880320	205	y	O	70	71
7532	1465312741149880320	205	pucha	O	72	77
7533	1465312741149880320	205	contra	O	78	84
7534	1465312741149880320	205	el	O	85	87
7535	1465312741149880320	205	COVID	B-MISC	88	93
7536	1465312741149880320	205	Isabel	O	95	101
7537	1465312741149880320	205	Diaz	O	102	106
7538	1465312741149880320	205	Ayuso:	O	107	113
7539	1465312741149880320	205	Renovación	O	114	124
7540	1465312741149880320	205	100%	O	125	129
7541	1465312741149880320	205	contratos	O	130	139
7542	1465312741149880320	205	COVID	B-MISC	140	145
7543	1465312741149880320	205	-	O	146	147
7544	1465312741149880320	205	¡Firma	O	148	154
7545	1465312741149880320	205	la	O	155	157
7546	1465312741149880320	205	petición!	O	158	167
7547	1465312741149880320	205	https://t.co/yYmeplHFiP	O	168	191
7548	1465312741149880320	205	vía	O	192	195
7549	1465312741149880320	205	@change_es	O	196	206
81927	1198918994398498817	2254	El	O	0	2
81928	1198918994398498817	2254	síndrome	O	3	11
81929	1198918994398498817	2254	del	O	12	15
81930	1198918994398498817	2254	salvador	O	16	24
81931	1198918994398498817	2254	define	O	25	31
81932	1198918994398498817	2254	a	O	32	33
81933	1198918994398498817	2254	una	O	34	37
81934	1198918994398498817	2254	persona	O	38	45
81935	1198918994398498817	2254	con	O	46	49
81936	1198918994398498817	2254	una	O	50	53
81937	1198918994398498817	2254	necesidad	O	54	63
81938	1198918994398498817	2254	casi	O	64	68
81939	1198918994398498817	2254	compulsiva	O	69	79
81940	1198918994398498817	2254	por	O	80	83
81941	1198918994398498817	2254	salvar,	O	84	91
81942	1198918994398498817	2254	ayudar	O	92	98
81943	1198918994398498817	2254	y	O	99	100
81944	1198918994398498817	2254	solucionar	O	101	111
81945	1198918994398498817	2254	problemas	O	112	121
81946	1198918994398498817	2254	ajenos.	O	122	129
81947	1198918994398498817	2254	En	O	130	132
81948	1198918994398498817	2254	ocasiones,	O	133	143
81949	1198918994398498817	2254	esa	O	144	147
81950	1198918994398498817	2254	ayuda	O	148	153
81951	1198918994398498817	2254	puede	O	154	159
81952	1198918994398498817	2254	ser	O	160	163
81953	1198918994398498817	2254	intrusiva,	O	164	174
81954	1198918994398498817	2254	causarnos	O	175	184
81955	1198918994398498817	2254	incomodidad	O	185	196
81956	1198918994398498817	2254	y	O	197	198
81957	1198918994398498817	2254	asfixia	B-MISC	199	206
81958	1198918994398498817	2254	o	O	207	208
81959	1198918994398498817	2254	llegar	O	209	215
81960	1198918994398498817	2254	a	O	216	217
81961	1198918994398498817	2254	“robarnos”	O	218	228
81962	1198918994398498817	2254	la	O	229	231
81963	1198918994398498817	2254	opción	O	232	238
81964	1198918994398498817	2254	de	O	239	241
81965	1198918994398498817	2254	gestionar	O	242	251
81966	1198918994398498817	2254	nuestros	O	252	260
81967	1198918994398498817	2254	propios	O	261	268
81968	1198918994398498817	2254	problemas.	O	269	279
72847	1381345494081867777	2007	Hoy	O	0	3
72848	1381345494081867777	2007	se	O	4	6
